Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Andy Greene,"N.J, NYI",D,226,3671.0166666667,8,28,15,13,36,27.07,222,3.60,9.9,482,339,115,27,2,27,45,21,20,1,0,14,99,62,146,251,382,0,0,-
Alec Martinez,"L.A, VGK",D,188,3309.7166666667,14,22,8,14,36,26.67,179,7.82,7.73,416,268,109,24,6,23,55,26,25,1,0,11,143,31,190,268,348,0,1,0.00
Jamie Oleksiak,"DAL, PIT",D,194,2797.3666666667,11,25,10,15,36,32.73,202,5.45,8.09,413,292,87,17,6,21,114,47,41,6,0,19,112,47,424,256,170,0,0,-
Michael Del Zotto,"ANA, STL, VAN",D,173,2788.85,8,28,11,17,36,30.00,199,4.02,8.93,425,296,118,24,9,27,50,25,25,0,0,19,108,33,438,150,191,0,0,-
Sami Vatanen,"ANA, N.J",D,169,2779.15,7,29,13,16,36,32.43,224,3.13,8.17,473,303,96,14,7,18,60,30,30,0,0,28,89,39,180,213,207,0,0,-
Chris Wagner,"ANA, BOS, NYI","C, R",222,2426.45,19,17,11,6,36,55.38,270,7.04,25.8,478,385,282,136,20,25,81,36,33,3,0,32,57,38,664,304,83,298,297,50.08
Sam Gagner,"DET, EDM, VAN",C,148,1830.0166666667,13,23,14,9,36,64.29,252,5.16,19.19,413,340,196,84,11,19,38,19,19,0,0,12,52,32,92,143,45,270,292,48.04
Filip Chytil,NYR,C,144,1788.7833333333,20,16,13,3,36,64.29,238,8.40,23.21,396,323,239,131,21,20,16,8,8,0,0,15,70,58,40,186,52,266,423,38.61
Carter Rowney,"ANA, PIT","C, R",177,1668.15,11,25,17,8,36,72.00,115,9.57,12.38,215,172,134,70,6,20,22,11,11,0,0,16,52,39,423,197,70,289,277,51.06
Nic Dowd,"L.A, VAN, WSH",C,176,1526.9166666667,14,22,12,10,36,62.07,134,10.45,13.99,235,195,147,71,11,10,62,26,25,0,1,9,39,54,282,228,72,559,539,50.91
Josh Leivo,"TOR, VAN",L,128,1445.0666666667,19,17,10,7,36,58.06,188,10.11,16.7,351,273,207,84,11,23,19,8,7,1,0,21,40,52,60,99,35,21,18,53.85
Colin Wilson,COL,C,130,1439.2333333333,12,24,8,16,36,69.23,148,8.11,13.29,242,197,145,68,4,14,14,7,7,0,0,21,22,28,94,125,56,59,71,45.38
Chris Kunitz,"CHI, T.B",L,138,1383.1166666667,17,19,11,8,36,72.00,117,14.53,10.83,209,156,121,60,9,10,33,15,14,1,0,7,45,46,210,132,42,7,16,30.43
Henrik Zetterberg,DET,C,82,1308.6166666667,10,26,20,6,36,70.59,136,7.35,10.83,247,187,129,48,6,12,10,5,5,0,0,7,45,43,46,68,33,536,576,48.20
Sonny Milano,"ANA, CBJ",L,118,1231.2333333333,20,16,9,7,36,78.26,129,15.50,11.03,199,168,115,50,4,9,22,11,11,0,0,23,37,35,55,153,24,0,0,-
Brayden McNabb,VGK,D,228,3753.8333333333,9,26,13,13,35,20.35,218,4.13,8.26,513,324,108,14,6,26,105,51,50,1,0,21,91,82,548,284,312,0,0,-
Travis Hamonic,CGY,D,193,3320.3333333333,9,26,15,11,35,25.18,293,3.07,10.33,670,445,128,17,8,29,78,30,24,6,0,13,116,70,155,300,288,0,0,-
Madison Bowey,"DET, WSH",D,154,2185.75,5,30,12,18,35,44.30,152,3.29,7.51,322,227,83,16,2,16,88,41,39,2,0,10,105,33,163,210,145,0,0,-
Cal Clutterbuck,NYI,R,186,1946.4333333333,11,24,14,10,35,55.56,188,5.85,17.08,344,263,206,98,6,21,54,19,17,0,2,23,68,34,513,224,100,12,15,44.44
Lucas Wallmark,"CAR, FLA",C,159,1785.8833333333,17,18,10,8,35,62.50,205,8.29,20.25,331,276,193,98,12,29,50,25,25,0,0,14,42,45,147,120,51,848,796,51.58
Troy Brouwer,"CGY, FLA, STL",R,164,1705.9666666667,17,18,14,4,35,64.81,151,11.26,13.72,285,227,136,61,9,14,53,18,14,3,1,20,61,36,304,127,69,61,80,43.26
Matt Cullen,"MIN, PIT",C,150,1486.2166666667,16,19,14,5,35,63.64,175,9.14,16.26,270,221,166,97,6,19,22,11,11,0,0,17,35,29,39,93,60,551,553,49.91
Jesperi Kotkaniemi,MTL,C,115,1308.75,15,20,12,8,35,71.43,160,9.38,11.64,291,205,140,53,15,12,26,13,13,0,0,16,57,44,113,135,56,426,536,44.28
Andrew Ladd,NYI,L,103,1288.1166666667,15,20,10,10,35,60.34,128,11.72,12.89,239,183,160,80,8,10,30,15,15,0,0,7,43,32,126,118,42,2,7,22.22
Dominik Kubalik,CHI,L,68,812.25,23,12,9,3,35,71.43,119,19.33,11.26,202,161,128,55,7,11,14,7,7,0,0,6,23,22,75,44,15,4,11,26.67
Adam Larsson,EDM,D,194,3590.9,7,27,10,17,34,27.87,249,2.81,9.64,537,370,109,18,5,28,87,42,41,1,0,11,134,58,550,294,281,0,0,-
Jake McCabe,BUF,D,178,2888.6333333333,7,27,12,15,34,34.69,176,3.98,6.07,367,246,86,12,8,20,63,30,29,1,0,14,67,43,257,301,198,0,0,-
Jakob Chychrun,ARI,D,166,2875.5,10,24,10,14,34,32.08,262,3.82,10.61,602,405,134,19,13,33,56,26,26,0,0,22,97,51,211,274,224,0,0,-
Marcus Pettersson,"ANA, PIT",D,175,2624.15,4,30,16,14,34,30.09,156,2.56,5.91,389,245,78,10,3,19,59,28,27,1,0,16,84,40,213,504,189,1,0,100.00
Austin Watson,NSH,L,166,1736.9,19,15,6,9,34,57.63,189,10.05,15.49,336,275,167,87,10,9,85,32,25,7,0,28,52,44,402,139,109,30,22,57.69
David Backes,"ANA, BOS",R,149,1691.75,13,21,13,8,34,65.38,281,4.63,18.79,419,364,204,83,16,26,46,17,13,4,0,15,48,66,301,170,60,247,227,52.11
Brandon Sutter,VAN,C,131,1629.7333333333,16,18,11,7,34,65.38,176,9.09,12.8,276,227,151,65,16,14,10,5,5,0,0,23,23,32,99,105,44,724,676,51.71
Brett Howden,NYR,C,136,1507.5166666667,13,21,14,7,34,61.82,114,11.40,14.2,191,164,136,93,8,13,32,16,16,0,0,16,50,36,124,122,87,491,524,48.37
Nikita Zaitsev,"OTT, TOR",D,199,3532.7166666667,8,25,13,12,33,24.44,165,4.85,6.45,518,281,127,16,10,23,48,24,24,0,0,7,164,48,329,315,297,0,0,-
Jordan Oesterle,"ARI, CHI",D,184,2960.15,9,24,12,12,33,32.35,206,4.37,7.94,500,310,95,9,5,26,24,12,12,0,0,14,120,44,154,359,285,0,0,-
Brent Seabrook,CHI,D,191,2891.7,9,24,12,12,33,29.46,256,3.52,11.48,503,341,116,24,12,22,75,36,35,1,0,15,138,35,221,221,334,0,0,-
Vladimir Sobotka,"BUF, STL","C, L",166,2111.7833333333,13,20,13,7,33,57.89,191,6.81,13.6,331,246,165,58,13,10,64,30,30,0,0,22,26,29,220,219,62,460,389,54.18
Jay Beagle,"VAN, WSH",C,191,1874.9,6,27,14,13,33,67.35,137,4.38,15.25,234,195,150,84,6,19,42,21,21,0,0,8,23,37,237,97,88,1032,706,59.38
Matt Martin,"NYI, TOR",L,172,1683.1333333333,13,20,11,9,33,61.11,156,8.33,14.73,276,224,175,86,10,8,76,25,18,6,1,23,41,28,660,185,71,19,17,52.78
Valeri Nichushkin,"COL, DAL",R,122,1384.2666666667,11,22,8,14,33,55.93,158,6.96,13.9,261,210,165,75,8,14,4,2,2,0,0,20,45,55,151,108,50,4,4,50.00
Pontus Aberg,"ANA, EDM, MIN, NSH, TOR",L,117,1369.9833333333,13,20,12,8,33,63.46,148,8.78,12.11,280,212,140,59,8,14,22,11,11,0,0,19,52,28,67,80,20,4,22,15.38
Neal Pionk,"NYR, WPG",D,172,2974.5666666667,6,26,13,13,32,31.37,262,2.29,9.66,508,369,102,20,11,19,49,23,22,1,0,18,126,65,301,282,168,0,0,-
Matt Grzelcyk,BOS,D,195,2965.4,7,25,12,13,32,27.83,243,2.88,9.86,489,351,108,13,6,20,99,40,37,1,2,13,88,63,132,259,142,0,0,-
Derek Forbort,"CGY, L.A",D,179,3128.5333333333,3,28,14,14,31,31.96,162,1.85,5.23,414,254,78,11,8,19,76,34,33,0,1,13,146,26,251,305,214,0,0,-
William Carrier,VGK,L,162,1534.6666666667,16,15,13,2,31,59.62,234,6.84,22.06,382,313,237,149,7,29,60,27,25,2,0,34,24,65,598,268,32,9,4,69.23
Zach Aston-Reese,PIT,C,116,1338.1833333333,13,18,9,9,31,63.27,177,7.34,14.48,288,236,157,86,8,18,39,18,17,1,0,11,33,34,320,188,60,13,21,38.24
Austin Wagner,L.A,L,127,1282.4833333333,17,14,8,6,31,77.50,187,9.09,19.87,313,264,197,104,13,22,29,13,12,1,0,19,39,28,284,127,27,5,10,33.33
Dan Hamhuis,"DAL, NSH",D,197,2839.9,3,27,12,15,30,30.61,137,2.19,5.29,321,204,70,15,6,16,82,33,30,2,1,16,82,27,165,196,175,0,0,-
Christopher Tanev,VAN,D,166,2574.1666666667,4,26,12,14,30,28.85,107,3.74,3.86,222,154,43,5,10,8,42,21,21,0,0,7,67,40,70,302,235,0,0,-
Mark Borowiecki,OTT,D,158,2222.95,9,21,4,17,30,38.46,177,5.08,7.28,382,283,95,25,14,24,140,51,40,10,1,24,66,29,598,270,232,0,1,0.00
Danny DeKeyser,DET,D,125,2210.2333333333,10,20,12,8,30,32.97,127,7.87,6,285,189,72,14,6,11,61,29,28,1,0,7,60,12,141,186,188,0,0,-
Calvin de Haan,"CAR, CHI, NYI",D,136,2186.7666666667,3,27,14,13,30,34.48,174,1.72,6.73,445,274,101,14,8,37,26,13,13,0,0,14,95,75,276,183,197,0,1,0.00
Dustin Byfuglien,WPG,D,111,2063.4333333333,6,24,8,16,30,34.48,213,2.82,10.59,426,318,109,44,10,25,102,48,46,2,0,9,98,40,180,76,124,0,0,-
Devon Toews,NYI,D,116,1904.9333333333,6,24,10,14,30,41.67,161,3.73,6.96,331,212,89,17,6,16,14,7,7,0,0,7,77,37,73,71,96,0,1,0.00
Nicolas Deslauriers,"ANA, MTL",L,165,1627.9,18,12,6,6,30,60.00,185,9.73,15.33,324,249,175,91,13,17,67,23,16,7,0,22,22,29,508,173,77,0,1,0.00
Anders Bjork,BOS,L,108,1229.9,11,19,10,9,30,63.83,97,11.34,9.43,217,153,129,46,8,12,14,7,7,0,0,9,33,46,70,137,43,2,3,40.00
Jay Bouwmeester,STL,D,169,3033.3833333333,6,23,13,10,29,29.29,163,3.68,6.36,343,228,74,13,5,12,52,26,26,0,0,5,80,34,113,206,198,0,0,-
Jason Demers,ARI,D,154,2659.8,8,21,10,11,29,28.71,161,4.97,6.77,360,246,88,16,5,18,51,23,22,1,0,14,72,33,163,156,158,0,0,-
Tim Schaller,"BOS, L.A, VAN","C, L",182,1799.7666666667,13,16,10,6,29,59.18,209,6.22,20.11,343,276,207,114,15,30,43,16,14,1,1,19,34,43,242,172,68,49,54,47.57
Jacob de la Rose,"DET, MTL, STL","C, L",165,1648.95,8,21,9,12,29,59.18,142,5.63,11.64,254,188,131,56,7,17,49,22,21,1,0,8,35,45,302,156,65,434,565,43.44
Michael Amadio,L.A,C,148,1476.5333333333,15,14,5,9,29,53.70,134,11.19,12.91,247,178,134,60,13,20,22,11,11,0,0,12,36,56,51,152,42,372,443,45.64
Oscar Lindberg,"OTT, VGK","C, L",118,1310.6166666667,17,12,9,3,29,60.42,164,10.37,14.04,284,230,149,62,14,20,32,15,15,0,0,11,47,42,172,120,50,185,197,48.43
Brendan Lemieux,"NYR, WPG",L,131,1241.3666666667,16,13,7,6,29,60.42,142,11.27,13.03,257,198,145,72,6,10,129,33,22,5,6,46,44,26,292,136,79,23,40,36.51
Adam Gaudette,VAN,C,120,1209.3166666667,12,17,9,8,29,63.04,113,10.62,10.8,232,172,141,55,4,15,49,17,15,1,1,20,23,32,79,97,36,300,427,41.27
Mathieu Joseph,T.B,R,107,1099.9666666667,17,12,8,4,29,60.42,118,14.41,9.99,216,165,134,57,9,17,34,16,16,0,0,17,32,38,175,159,22,11,31,26.19
Jamie McGinn,FLA,L,95,1067.35,12,17,12,5,29,64.44,114,10.53,9.52,185,147,100,45,8,8,26,10,8,2,0,11,34,22,149,94,25,8,13,38.10
